Sl. No,Polling Station No,Desiya Dravida Murpokku Kazhagam HTANAMU .R,D. PERIYASAMY Party Janata Bharatiya,P. RAVICHANDRAN Party Samaj Bahujan,E. ARULDOSS Sakthi Katchi Makkal Desiya,Naam Tamilar Katchi IHCTAMAK .N,R. PRABAKARAN Maiam Needhi Makkal,S. AYYASAMY Independent,M. KARUPPAN Independent,Independent JARAMAK .K,V. KOLANJINATHAN Independent,C. SEENUVASAN Independent,S. SUMATHI Independent,M. NATARAJAN Independent,P. PALANIAMMAL Independent,Above the of None Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
33,29,616,11,241,188,0,0,30,10,0,3,1,0,1,0,3,1,6,495,0,495,0
34,30,684,6,282,274,5,0,28,2,1,2,0,0,0,0,8,1,2,611,0,611,0
35,31,896,12,292,344,4,1,51,12,1,1,1,0,1,0,7,5,3,735,0,735,0
36,32M,582,3,224,152,0,0,53,2,3,2,0,0,0,0,0,1,2,442,0,442,0
37,32 A(W),597,7,295,177,0,0,27,1,2,2,0,0,0,1,6,0,0,518,0,518,0
38,33,817,4,332,247,3,0,38,1,0,2,0,0,0,0,4,2,3,636,0,636,0
39,34,496,11,157,143,2,2,19,3,0,1,0,0,2,0,3,1,3,347,0,347,0
40,34 A,260,10,118,70,0,0,11,1,0,2,1,0,0,2,2,1,4,222,0,222,0
41,35,638,8,407,73,2,1,19,1,3,0,0,0,0,3,8,4,3,532,0,532,0
42,36,784,7,339,151,5,0,55,3,0,1,1,1,0,2,1,1,4,571,0,571,0
43,37M,592,4,430,27,0,0,16,0,2,0,0,0,0,1,1,2,2,485,0,485,0
44,37 A(W),619,1,522,10,0,0,3,0,0,0,0,0,0,0,0,2,1,539,0,539,0
45,38,889,51,417,136,5,1,43,3,0,3,2,1,3,5,8,3,5,686,0,686,0
46,39,659,6,373,106,2,0,47,2,1,0,0,0,0,1,8,6,2,554,0,554,0
47,40M,600,14,279,106,0,0,43,2,1,0,0,0,0,0,0,1,0,446,0,446,0
48,40 A(W),598,12,303,120,2,1,28,4,0,0,2,2,0,0,4,3,4,485,0,485,0
49,41,847,8,404,244,0,1,39,1,0,3,0,1,0,0,4,1,0,706,0,706,0
50,42M,580,12,198,148,1,1,50,2,1,0,1,0,1,1,3,1,2,422,0,422,0
51,42 A(W),563,7,250,198,2,0,26,5,1,2,0,0,2,2,8,4,2,509,0,509,0
52,43,902,13,288,300,1,0,68,2,0,0,0,1,1,1,6,4,4,689,0,689,0
53,44,970,15,509,238,0,0,45,1,0,2,0,0,1,0,2,1,2,816,0,816,0
54,45,982,14,410,273,0,0,75,9,1,4,0,0,1,0,3,1,4,795,0,795,0
55,46,854,10,409,160,61,3,33,4,2,0,0,0,0,1,7,2,5,697,0,697,0
56,47,682,4,216,203,3,2,38,12,0,2,0,0,0,0,0,0,3,483,0,483,0
57,48,751,5,317,160,4,0,35,14,0,1,1,0,0,1,4,0,2,544,0,544,0
58,49M,540,13,171,143,2,0,60,2,0,0,0,1,0,0,1,0,0,393,0,393,0
59,49 A(W),530,4,206,159,5,0,23,4,3,1,1,1,1,0,7,2,2,419,0,419,0
60,50,737,11,259,191,1,0,35,13,1,1,0,0,0,2,3,0,2,519,0,519,0
61,51,815,12,348,165,3,0,82,0,2,1,0,1,1,2,9,1,2,629,0,629,0
62,52M,608,4,131,197,2,0,39,11,2,0,0,0,0,1,3,0,0,390,0,390,0
63,52 A(W),577,6,138,336,1,1,21,5,1,2,0,1,0,0,2,0,0,514,0,514,0
64,53M,623,11,188,186,2,0,48,3,0,2,0,0,1,0,2,0,2,445,0,445,0
65,53 A(W),626,7,228,272,1,0,26,2,1,4,0,3,3,4,0,4,4,559,0,559,0
66,54M,603,8,225,123,0,0,43,1,0,3,0,0,0,1,3,2,2,411,0,411,0
